,name,index,image,rect,height width,url
697,Alyssa_Diaz,nm4044848,12.jpg,275 140 389 287,712 800,https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ4NDM0NjI0OF5BMl5BanBnXkFtZTgwNDc4MzY3OTE@._V1_.jpg
1005,Stephen_Sondheim,nm0814227,3.jpg,96 103 186 222,400 281,https://images-na.ssl-images-amazon.com/images/M/MV5BMjEyOTcyNjE3M15BMl5BanBnXkFtZTYwOTM3NTc4._V1_.jpg
2616,George_Chakiris,nm0001995,16.jpg,128 198 377 475,577 490,https://images-na.ssl-images-amazon.com/images/M/MV5BNTg4Y2Y2ODEtYTJlYi00ZWIyLThjNzMtZTIzZmFhM2E0YzBmXkEyXkFqcGdeQXVyMzI5NDcxNzI@._V1_.jpg
5298,Joelle_Carter,nm0141710,6.jpg,327 127 445 241,427 640,https://images-na.ssl-images-amazon.com/images/M/MV5BMjAwNTIzMDk1Ml5BMl5BanBnXkFtZTgwMDAwNTgwMDE@._V1_.jpg
5877,Mellini_Kantayya,nm1464147,3.jpg,75 212 315 464,1000 666,https://images-na.ssl-images-amazon.com/images/M/MV5BMTgyMDU2MDEwMV5BMl5BanBnXkFtZTgwNDU0Nzg2NDE@._V1_SY1000_CR0
7062,Joshua_Rollins,nm2024154,1.jpg,219 100 333 220,669 450,https://images-na.ssl-images-amazon.com/images/M/MV5BMjE2NzIwNjY0N15BMl5BanBnXkFtZTcwODM4MDkzMQ@@._V1_.jpg
7427,Jamie_Waylett,nm0915488,6.jpg,91 69 180 152,400 292,https://images-na.ssl-images-amazon.com/images/M/MV5BMTM5MTAxNjI2N15BMl5BanBnXkFtZTYwMDQ3NTc1._V1_.jpg
10958,Dorothy_Coonan_Wellman,nm0920050,5.jpg,85 348 112 376,500 352,https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ5NDQ1NDE4N15BMl5BanBnXkFtZTgwNzgxOTgwMzE@._V1_.jpg
12188,Mark_Johnson,nm5785360,11.jpg,111 89 238 235,398 450,https://images-na.ssl-images-amazon.com/images/M/MV5BMTgxODE4NDA3N15BMl5BanBnXkFtZTcwODA1NzAzMQ@@._V1_.jpg
19625,Jyoti_Singh,nm2811863,2.jpg,414 181 537 297,1000 1500,https://images-na.ssl-images-amazon.com/images/M/MV5BODAwMDc0NTUzNV5BMl5BanBnXkFtZTgwMjE4NTI0NzE@._V1_SY1000_SX1500_AL_.jpg
19672,Michel_Gill,nm0318703,22.jpg,282 102 344 184,1000 654,https://images-na.ssl-images-amazon.com/images/M/MV5BNDQyMDkzNTE0OV5BMl5BanBnXkFtZTgwMjE3NTAzMDE@._V1_SY1000_CR0
24983,Andrew_Hall,nm5455394,4.jpg,88 141 237 296,375 500,https://images-na.ssl-images-amazon.com/images/M/MV5BMTczMjU2MjAzM15BMl5BanBnXkFtZTgwOTU3NjM0MjE@._V1_.jpg
27052,Ekaterina_Starshova,nm3731944,2.jpg,329 310 399 385,1000 667,https://images-na.ssl-images-amazon.com/images/M/MV5BMzg4ZjJkMmEtNGY4MC00N2MwLTljZTktNjdiNmZhZWViZWM2XkEyXkFqcGdeQXVyNjMwOTA1MDM@._V1_.jpg
27705,Kelly_Rowen_Kean,nm1036831,7.jpg,4 41 214 251,363 450,https://images-na.ssl-images-amazon.com/images/M/MV5BMTE5MzM3NTg4OV5BMl5BanBnXkFtZTYwNjcxMjky._V1_.jpg
31111,Cat_Hostick,nm4490187,6.jpg,32 106 175 250,440 316,https://images-na.ssl-images-amazon.com/images/M/MV5BMzgzNTA3OTMwNl5BMl5BanBnXkFtZTgwODA5ODM2MjE@._V1_.jpg
32828,Ruth_Wilson,nm3330998,103.jpg,266 293 308 357,800 533,https://images-na.ssl-images-amazon.com/images/M/MV5BMjdjOWZlYzUtMmU3Zi00YTdkLWI0MjktOTlkY2Q2NjEyYTk5L2ltYWdlXkEyXkFqcGdeQXVyNjc5Mjg0NjU@._V1_.jpg
35260,DeeDee_Luxe,nm4669520,12.jpg,592 155 627 196,653 1200,https://images-na.ssl-images-amazon.com/images/M/MV5BMTQyMjA1NzkzNV5BMl5BanBnXkFtZTcwMjE2OTEwNw@@._V1_.jpg
36280,Jenny_Lewis,nm7962738,6.jpg,104 71 159 135,400 267,https://images-na.ssl-images-amazon.com/images/M/MV5BNjAyNDIxMjU1OF5BMl5BanBnXkFtZTcwMjA4NTQwMg@@._V1_.jpg
37149,Ramses_Jimenez,nm1631845,10.jpg,228 188 342 309,999 667,https://images-na.ssl-images-amazon.com/images/M/MV5BMjg1NDE4ODM1Ml5BMl5BanBnXkFtZTgwNjI4MzgxMDI@._V1_SX667_CR0
37949,Katherine_Cunningham,nm3211868,1.jpg,395 171 561 436,594 792,https://images-na.ssl-images-amazon.com/images/M/MV5BMTUzNzgzNTc2N15BMl5BanBnXkFtZTgwNjAyNjA3NjE@._V1_.jpg
40923,Anthony_Katagas,nm0441097,1.jpg,678 232 931 528,999 1292,https://images-na.ssl-images-amazon.com/images/M/MV5BNjM0NDM1NTA5N15BMl5BanBnXkFtZTgwODYyNzYxMTE@._V1_SX1292_CR0
